date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:42:42	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/robots.txt		(from )
14:42:42	38873/38873	---M--	200	added ('OK')	text/html	etag:%228fdfea92686d81:0%22	http://95.214.55.189/	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/index.html	(from )
14:42:43	8728/8728	---M-Z	-1	error ('Error%20when%20decompressing')	text/html	etag:%2203fe092686d81:0%22	http://95.214.55.189/index.html	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/index-2.html	(from http://95.214.55.189/)
14:42:46	256991/256991	---M--	200	added ('OK')	text/css	etag:%22155861fc3e83d81:0%22	http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css	(from http://95.214.55.189/)
14:42:46	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/Discord_Beta_Windows.zip	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/Discord_Beta_Windows.4.delayed	(from http://95.214.55.189/)
14:42:47	56087/56087	---M--	200	added ('OK')	image/svg+xml	etag:%22477ec6333f83d81:0%22	http://95.214.55.189/assets/d0d4785a2a708e2e6aae274cbe13cb6c.svg	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/d0d4785a2a708e2e6aae274cbe13cb6c.svg	(from http://95.214.55.189/)
14:42:49	74319/74319	---M--	200	added ('OK')	image/svg+xml	etag:%22f4a6d6123f83d81:0%22	http://95.214.55.189/assets/7802f24afe58bfbf4cfd3a9e4b210f15.svg	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/7802f24afe58bfbf4cfd3a9e4b210f15.svg	(from http://95.214.55.189/)
14:42:50	52394/52394	---M--	200	added ('OK')	image/svg+xml	etag:%22f91a62393f83d81:0%22	http://95.214.55.189/assets/fbeecd9630673fad538917f2c33a8f62.svg	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/fbeecd9630673fad538917f2c33a8f62.svg	(from http://95.214.55.189/)
14:42:51	57175/57175	---M--	200	added ('OK')	image/svg+xml	etag:%229918a183f83d81:0%22	http://95.214.55.189/assets/48930d53ee497513a0ee4c3c1ae7b3cb.svg	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/48930d53ee497513a0ee4c3c1ae7b3cb.svg	(from http://95.214.55.189/)
14:42:53	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/Discord_Beta_Windows.rar	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/Discord_Beta_Windows.9.delayed	(from http://95.214.55.189/)
14:42:54	40386/40386	---M--	200	added ('OK')	image/svg+xml	etag:%22db56f9293f83d81:0%22	http://95.214.55.189/assets/aaef6e9afb93f4a28236410b0d7376ca.svg	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/aaef6e9afb93f4a28236410b0d7376ca.svg	(from http://95.214.55.189/)
14:42:55	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/779a770c34fcb823a598a7277301adaf.svg	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/779a770c34fcb823a598a7277301adaf.b.delayed	(from http://95.214.55.189/)
14:42:55	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/6c6374bad0b0b6d204d8d6dc4a18d820.woff	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/6c6374bad0b0b6d204d8d6dc4a18d820.c.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:02	57403/57403	---M--	200	added ('OK')	image/png	etag:%2244e995c0944fe3fab1282912827d1863%22	https://discord.com/assets/44e995c0944fe3fab1282912827d1863.png	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/discord.com/assets/44e995c0944fe3fab1282912827d1863.png	(from http://95.214.55.189/)
14:43:08	77784/77784	---M--	200	added ('OK')	font/x-woff	etag:%221932df353f83d81:0%22	http://95.214.55.189/assets/e8acd7d9bf6207f99350ca9f9e23b168.woff	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/e8acd7d9bf6207f99350ca9f9e23b168.woff	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:08	76744/76744	---M--	200	added ('OK')	font/x-woff	etag:%22c69e28ff3e83d81:0%22	http://95.214.55.189/assets/3bdef1251a424500c1b3a78dea9b7e57.woff	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/3bdef1251a424500c1b3a78dea9b7e57.woff	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:08	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/8e12fb4f14d9c4592eb8ec9f22337b04.woff	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/8e12fb4f14d9c4592eb8ec9f22337b04.10.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
14:43:09	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2016:19:58%20GMT	http://95.214.55.189/assets/fe89b2b49c21616996ca5f421f6533fd.woff	C:/Users/Administrator/Desktop/Yeni%20klas%c3%b6r/tset/95.214.55.189/assets/fe89b2b49c21616996ca5f421f6533fd.11.delayed	(from http://95.214.55.189/assets/0.a5e81a1da3b56bf2fe65.css)
